咳血:剧烈运动后咯血,是怎么了?	咳血:剧烈运动后咯血是什么原因？	1
咳血:剧烈运动后咯血,是怎么了?	咳血:剧烈运动后为什么会咯血？	1
咳血:剧烈运动后咯血,是怎么了?	咳血:剧烈运动后咯血，应该怎么处理？	0
咳血:剧烈运动后咯血,是怎么了?	咳血:剧烈运动后咯血，需要就医吗？	0
咳血:剧烈运动后咯血,是怎么了?	咳血:剧烈运动后咯血，是否很严重？	0
咳血:百令胶囊需要注意什么？	咳血:百令胶囊有什么注意事项？	1
咳血:百令胶囊需要注意什么？	咳血:服用百令胶囊有什么需要特别注意的吗？	1
咳血:百令胶囊需要注意什么？	咳血:百令胶囊如何服用？	0
咳血:百令胶囊需要注意什么？	咳血:百令胶囊效果好吗？	0
咳血:百令胶囊需要注意什么？	咳血:百令胶囊需要如何服用？	0
咳血:肝癌兼肺癌晚期能活多久？	咳血:肝癌兼肺癌晚期还有多少寿命？	1
咳血:肝癌兼肺癌晚期能活多久？	咳血:肝癌兼肺癌晚期还有多少时间？	1
咳血:肝癌兼肺癌晚期能活多久？	咳血:肝癌兼肺癌晚期能治疗吗？	0
咳血:肝癌兼肺癌晚期能活多久？	咳血:肝癌兼肺癌晚期该怎么办？	0
咳血:肝癌兼肺癌晚期能活多久？	咳血:肝癌兼肺癌晚期能治好吗？	0
咳血:咳嗽咯血半年是什么病？	咳血:咳嗽咯血半年是怎么回事？	1
咳血:咳嗽咯血半年是什么病？	咳血:咳嗽咯血半年是什么情况？	1
咳血:咳嗽咯血半年是什么病？	咳血:咳嗽咯血半年需要治病吗？	0
咳血:咳嗽咯血半年是什么病？	咳血:咳嗽咯血半年怎么处理？	0
咳血:咳嗽咯血半年是什么病？	咳血:咳嗽咯血半年是什么原因导致的？	0
咳血:百令胶囊能长期服用吗?	咳血:百令胶囊是否可以长时间服用?	1
咳血:百令胶囊能长期服用吗?	咳血:百令胶囊长时间服用会有问题吗?	1
咳血:百令胶囊能长期服用吗?	咳血:百令胶囊能和其他药物一起服用吗?	0
咳血:百令胶囊能长期服用吗?	咳血:百令胶囊怎么服用?	0
咳血:百令胶囊能长期服用吗?	咳血:百令胶囊的服用方法是什么?	0
咳血:我国最常见的咯血原因是什么?	咳血:我国主要的咯血原因是什么?	1
咳血:我国最常见的咯血原因是什么?	咳血:我国最常见的咯血是什么导致的?	1
咳血:我国最常见的咯血原因是什么?	咳血:我国最常见的咯血有哪些?	0
咳血:我国最常见的咯血原因是什么?	咳血:我国最常见的咯血的种类有多少?	0
咳血:我国最常见的咯血原因是什么?	咳血:我国最常见的咯血是什么?	0
咳血:大咯血的处理原则是什么?	咳血:大咯血该怎么处理?	1
咳血:大咯血的处理原则是什么?	咳血:如何处理大咯血?	1
咳血:大咯血的处理原则是什么?	咳血:大咯血是什么情况?	0
咳血:大咯血的处理原则是什么?	咳血:大咯血的什么病?	0
咳血:大咯血的处理原则是什么?	咳血:大咯血的原因是什么?	0
咳血:咯血的话应该怎么抢救？	咳血:咯血的话应该怎么处理？	1
咳血:咯血的话应该怎么抢救？	咳血:咯血的话应该如何进行抢救？	1
咳血:咯血的话应该怎么抢救？	咳血:咯血的话应该去医院吗？	0
咳血:咯血的话应该怎么抢救？	咳血:咯血的话是什么原因造成的？	0
咳血:咯血的话应该怎么抢救？	咳血:咯血的话应该如何预防？	0
